id	replacement
5144533	926191
5144534	109450
5144543	100191
5144547	914306
5144540	400197
5144516	37855
5144751	891706
5144752	983574
5144755	983556
5144759	563400
5144778	650840
5144779	650838
5144770	771504
5144771	591397
5144773	352406
91435	657839
5144769	894332
5144767	653064
5144760	211616
5144796	983576
5144797	187952
5144799	887020
5144785	622996
5144786	964084
5144783	653061
5144784	887024
5144782	650834
2909107	264999
5144818	317251
5144817	887022
5144821	744918
5144808	352408
5144804	771506
410372	3006856
5144802	465549
2822905	725661
5144131	419839
2822882	1060043
5144263	510065
5144237	450630
5144324	742721
5144372	867004
5144469	808417
905557	4082165
3499469	542957
3499354	208445
3627232	233834
3499233	506427
3627345	913115
5143789	198751
5143721	1006592
4787313	4786999
4787314	4786999
5015678	426423
5143694	878925
5015704	23034
5015710	772700
5015722	383690
5143964	684252
5143912	700875
5143913	58981
5143931	273518
5143887	782993
5143888	1070599
5143901	191290
4787001	4786999
4787000	4786999
4787002	4786999
4787003	4786999
2823059	1019436
2823092	412958
3627945	575721
3627967	228379
459480	4649061
3113719	636540
235052	1027108
2823146	388129
2823139	650726
235164	839011
2908947	1074962
2908899	685718
3627457	954090
3627404	885083
3627611	153715
3627591	780666
3627581	953581
3627534	380090
3627675	210572
2908986	256027
592449	3804931
5128064	446369
5128657	1091336
2858622	165576
2858789	126089
3308967	381030
263383	3755344
2858531	197126
3784412	521441
3784483	3773868
3738155	1061555
4546529	68347
4546505	225377
3784996	67596
4592938	640463
4592937	34075
3738693	464247
3738642	195986
141530	3837434
4070191	666453
3738966	64169
4547037	184892
4592182	1032592
515823	3896729
2859163	681497
2859194	62902
2859051	111974
2859024	626120
3307925	84657
3307821	1041566
3307829	1003031
2859564	623492
3307723	714802
4200548	4200615
4200549	4200616
516242	547933
4200351	462804
3739022	61792
3739076	350440
3783200	865795
3739100	568532
4200583	733373
4200574	4200617
3783633	965993
4591638	761505
3739911	547257
3739916	355974
3739913	547287
3739858	767384
4591320	653598
4591355	652967
4701600	106309
5173122	5172952
3441185	303343
928536	3261535
4590862	95791
4072153	66788
4544202	229442
3879367	567759
3879376	209002
3879374	459124
3879358	974177
3782233	802451
4590654	749976
3879386	783258
3879385	732638
3879587	2192
3879435	271708
3879426	846084
3879442	795050
3879462	271710
3879527	846098
4072639	554417
4072231	877164
3879787	500138
3879786	802545
3879842	9287
3879840	802555
3879800	793044
3879819	802543
3879813	802551
3878775	60825
3878749	883278
3609214	427314
3736483	209693
3878986	385523
1047564	4731403
4590573	268162
4590569	268163
3781131	863090
3736042	257646
3781416	996984
3736965	618502
3486044	765955
3305423	481822
3305413	941823
3878439	996454
3877590	227656
3877599	519611
3877585	319798
3877584	814772
3877587	137235
3877583	1048363
3877589	814780
3877578	675448
3877562	137240
3780504	81874
3877610	519609
3877612	675442
3877615	498557
3877600	519615
3877605	49774
3877603	519601
3877632	344046
3877623	141802
3877624	359129
3877621	49784
3877620	770065
4546035	625127
3780433	761390
3877467	393558
1046725	4577761
3877943	873277
3877936	923760
3877937	710099
3877939	830171
3877985	873280
3877965	656619
3608902	403204
4974860	144365
646102	3983694
3486645	1004641
3788244	205654
3444888	4191518
3304259	515847
3607519	3428
3607516	28538
3607527	481550
343566	3951903
3876733	231072
3876654	823634
3876648	843299
3876084	514409
3876175	852313
924929	540049
3446146	990679
