uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	uniqname	|	flags	|	
157003	|	511898	|	Echinops dahuricus	|	species	|	ncbi:909139	|		|		|	
157005	|	511898	|	Echinops chardinii	|	species	|	ncbi:909136	|		|		|	
157012	|	511898	|	Echinops arachniolepis	|	species	|	ncbi:909132	|		|		|	
157014	|	511898	|	Echinops cephalotes	|	species	|	ncbi:909133	|		|		|	
157023	|	511898	|	Echinops angustilobus	|	species	|	ncbi:909131	|		|		|	
147671	|	511898	|	Echinops albicaulis	|	species	|	ncbi:274418	|		|		|	
772554	|	511898	|	Echinops przewalskyi	|	species	|	ncbi:324592	|		|		|	
774109	|	511898	|	Echinops sp. EM369	|	species	|	ncbi:1159746	|		|		|	
802161	|	511898	|	Echinops bannaticus	|	species	|	ncbi:170506,gbif:5392859	|		|		|	
808885	|	511898	|	Echinops szovitsii	|	species	|	ncbi:274436	|		|		|	
808888	|	511898	|	Echinops talassicus	|	species	|	ncbi:274437	|		|		|	
808894	|	511898	|	Echinops strigosus	|	species	|	ncbi:274435,gbif:5392672	|		|		|	
808900	|	511898	|	Echinops saissanicus	|	species	|	ncbi:274433	|		|		|	
808902	|	511898	|	Echinops orientalis	|	species	|	ncbi:274430,gbif:5392712	|		|		|	
3894846	|	808902	|	Echinops armenus	|	species	|	gbif:5392949	|		|	infraspecific	|	
808904	|	511898	|	Echinops persicus	|	species	|	ncbi:274431	|		|		|	
808907	|	511898	|	Echinops tournefortii	|	species	|	ncbi:274438,gbif:5392723	|		|		|	
808909	|	511898	|	Echinops tschimganicus	|	species	|	ncbi:274439	|		|		|	
829555	|	511898	|	Echinops mersinensis	|	species	|	ncbi:1134909,gbif:5392897	|		|		|	
833724	|	511898	|	Echinops tjanschanicus	|	species	|	ncbi:909182	|		|		|	
833726	|	511898	|	Echinops tenuisectus	|	species	|	ncbi:909181	|		|		|	
867439	|	511898	|	Echinops sp. Asia2	|	species	|	ncbi:143318	|		|		|	
933929	|	511898	|	Echinops cyanocephalus	|	species	|	ncbi:909138	|		|		|	
363805	|	511898	|	Echinops phaeocephalus	|	species	|	ncbi:910525,gbif:5392812	|		|		|	
425534	|	511898	|	Echinops obliquilobus	|	species	|	ncbi:910524	|		|		|	
157008	|	511898	|	Echinops chloroleucus	|	species	|	ncbi:909137	|		|		|	
3894853	|	511898	|	Echinops macrochaetus	|	species	|	gbif:5392880	|		|		|	
3894844	|	511898	|	Echinops descendens	|	species	|	gbif:5392832	|		|		|	
3894845	|	511898	|	Echinops viridifolius	|	species	|	gbif:5392743	|		|		|	
3894842	|	511898	|	Echinops galalensis	|	species	|	gbif:5392744	|		|		|	
3894858	|	511898	|	Echinops cyrenaicus	|	species	|	gbif:5392782	|		|		|	
3894855	|	511898	|	Echinops pannosus	|	species	|	gbif:5392781	|		|		|	
3894854	|	511898	|	Echinops corniger	|	species	|	gbif:5929481	|		|		|	
3894856	|	511898	|	Echinops adenocaulos	|	species	|	gbif:6076760	|		|		|	
3894848	|	511898	|	Echinops oxyodontus	|	species	|	gbif:5392792	|		|		|	
3894850	|	511898	|	Echinops hussonii	|	species	|	gbif:5392799	|		|		|	
