name	|	uid	|	type	|	uniqname	|	sourceinfo	|	
Stilpnophytum	|	3114273	|	synonym	|	Stilpnophytum (synonym for Athanasia)	|	gbif:3114273	|	
Haplostephium	|	3129976	|	synonym	|	Haplostephium (synonym for Lychnophora)	|	gbif:3129976	|	
Episcothamnus	|	3129976	|	synonym	|	Episcothamnus (synonym for Lychnophora)	|	gbif:3129976	|	
Lychnocephalus	|	3129976	|	synonym	|	Lychnocephalus (synonym for Lychnophora)	|	gbif:3129976	|	
Lychnophoriopsis	|	3129976	|	synonym	|	Lychnophoriopsis (synonym for Lychnophora)	|	gbif:3129976	|	
Brickelliastrum	|	3144047	|	synonym	|	Brickelliastrum (synonym for Steviopsis)	|	gbif:3144047	|	
Dyscritogyne	|	3144047	|	synonym	|	Dyscritogyne (synonym for Steviopsis)	|	gbif:3144047	|	
Asanthus	|	3144047	|	synonym	|	Asanthus (synonym for Steviopsis)	|	gbif:3144047	|	
Leucampyx	|	3110166	|	synonym	|	Leucampyx (synonym for Hymenopappus)	|	gbif:3110166	|	
Centrospermum	|	3100362	|	synonym	|	Centrospermum (synonym for Acanthospermum)	|	gbif:3100362	|	
Nordenstamia	|	3092044	|	synonym	|	Nordenstamia (synonym for Aequatorium)	|	gbif:3092044	|	
Lasiolaenia	|	3089481	|	synonym	|	Lasiolaenia (synonym for Lasiolaena)	|	gbif:3089481	|	
Wootonia	|	3105461	|	synonym	|	Wootonia (synonym for Dicranocarpus)	|	gbif:3105461	|	
Musilia	|	3110114	|	synonym	|	Musilia (synonym for Rhanterium)	|	gbif:3110114	|	
Chaetadelphia	|	3089970	|	synonym	|	Chaetadelphia (synonym for Chaetadelpha)	|	gbif:3089970	|	
Hirtellina	|	3112542	|	synonym	|	Hirtellina (synonym for Staehelina)	|	gbif:3112542	|	
Glossogyne	|	3101340	|	synonym	|	Glossogyne (synonym for Glossocardia)	|	gbif:3101340	|	
Guerreroia	|	3101340	|	synonym	|	Guerreroia (synonym for Glossocardia)	|	gbif:3101340	|	
Neuractis	|	3101340	|	synonym	|	Neuractis (synonym for Glossocardia)	|	gbif:3101340	|	
